Date,Price
2023-04-26,19.245
2023-04-25,19.7425
2023-04-24,20.2325
2023-04-21,20.2825
2023-04-20,20.4675
2023-04-19,21.025
2023-04-18,21.185
2023-04-17,20.9475
2023-04-14,20.8
2023-04-13,20.51
2023-04-12,20.3475
2023-04-11,20.07
2023-04-10,20.015
2023-04-06,19.85
2023-04-05,20.0125
2023-04-04,20.235
2023-04-03,20.6075
2023-03-31,20.64
2023-03-30,20.2775
2023-03-29,20.28
2023-03-28,20.0025
2023-03-27,19.89
2023-03-24,19.2475
2023-03-23,19.8975
2023-03-22,19.885
2023-03-21,20.585
2023-03-20,19.6575
2023-03-17,18.9475
2023-03-16,19.475
2023-03-15,19.0025
2023-03-14,19.995
2023-03-13,19.0975
2023-03-10,20.0725
2023-03-09,21.3825
2023-03-08,22.29
2023-03-07,22.14
2023-03-06,22.0425
2023-03-03,22.3075
2023-03-02,22.165
2023-03-01,21.83
2023-02-28,21.5275
2023-02-27,21.5775
2023-02-24,21.595
2023-02-23,21.515
2023-02-22,21.525
2023-02-21,21.7625
2023-02-17,21.68
2023-02-16,21.8625
2023-02-15,21.76
2023-02-14,21.58
2023-02-13,21.6175
2023-02-10,21.5525
2023-02-09,21.5875
2023-02-08,21.5925
2023-02-07,21.4875
2023-02-06,21.1375
2023-02-03,21.045
2023-02-02,20.235
2023-02-01,20.5675
2023-01-31,19.985
2023-01-30,19.435
2023-01-27,19.3775
2023-01-26,19.725
2023-01-25,19.6625
2023-01-24,19.73
2023-01-23,19.995
2023-01-20,19.73
2023-01-19,19.7125
2023-01-18,20.2325
2023-01-17,19.2975
2023-01-13,19.3025
2023-01-12,18.7125
2023-01-11,18.6525
2023-01-10,18.975
2023-01-09,18.7075
2023-01-06,18.4125
2023-01-05,17.96
2023-01-04,18.03
2023-01-03,17.845
